text,intent,slots
向右转。,R,oooo
全体右转。,R,ooooo
原地右转。,R,ooooo
听口令，右转！,R,ooooooo
向右侧转动。,R,oooooo
身体向右方旋转九十度。,R,ooooooooooo
立正，右转。,R,oooooo
齐步走前先右转。,R,oooooooo
目标在右边，转过去。,R,oooooooooo
把方向盘打向右边。,R,ooooooooo
朝右边拐。,R,ooooo
视线对准右侧。,R,ooooooo
脚跟为轴向右旋。,R,oooooooo
立即向右转向。,R,ooooooo
方向改为右侧。,R,ooooooo
转到右手边。,R,oooooo
面朝右方。,R,ooooo
向右方迈步转身。,R,oooooooo
把身体带向右翼。,R,oooooooo
右侧集合。,R,ooooo
向东方转动。,R,oooooo
朝日出的方向转身。,R,ooooooooo
把舵拨向传统。,R,ooooooo
向秩序的一侧靠拢。,R,ooooooooo
转向保守阵营。,R,ooooooo
朝强权方向移动。,R,oooooooo
改变航向，靠近铁腕路线。,R,oooooooooooo
将队伍带往民族主义方向。,R,oooooooooooo
向等级分明的世界旋转。,R,ooooooooooo
把立场移到资本一边。,R,oooooooooo
朝着黑旗飘扬的方向行进。,R,oooooooooooo
转向威权主义阵地。,R,ooooooooo
向更集中的权力结构靠近。,R,oooooooooooo
朝着国家至上的方向迈步。,R,oooooooooooo
把舵轮拨向传统主义。,R,oooooooooo
向秩序优先的那边转去。,R,ooooooooooo
朝着权威理想调整姿态。,R,ooooooooooo
把队形转向强人政治。,R,oooooooooo
向纪律至上的方向转。,R,oooooooooo
向等级社会靠拢。,R,oooooooo
右翼集合，转向。,R,oooooooo
朝右翼推进。,R,oooooo
向右边的山路拐。,R,oooooooo
在路口向右转弯。,R,oooooooo
车头朝右打。,R,oooooo
迅速完成右转动作。,R,ooooooooo
变更方向至右侧。,R,oooooooo
把身体朝右方摆动。,R,ooooooooo
将视角切换到右边。,R,ooooooooo
向右偏航。,R,ooooo
现在需要保守一点。,R,ooooooooo
收紧队形。,R,ooooo
向传统价值观靠拢。,R,ooooooooo
把方向给秩序。,R,ooooooo
朝纪律方向前行。,R,oooooooo
把权力集中起来。,R,oooooooo
走向铁腕统治。,R,ooooooo
把航线对准民族至上。,R,oooooooooo
朝资本利益移动。,R,oooooooo
向权威表达忠诚。,R,oooooooo
右转九十度。,R,oooooo
按口令右转。,R,oooooo
向右后方转体。,R,ooooooo
以右脚为轴转身。,R,oooooooo
右边有路，转过去。,R,ooooooooo
向右前方移动。,R,ooooooo
立刻完成右转。,R,ooooooo
将机头向右调整。,R,oooooooo
向右侧走。,R,ooooo
右转进入下一条路。,R,ooooooooo
向保守主义迈步。,R,oooooooo
朝强权社会前进。,R,oooooooo
让思想偏向民族主义。,R,oooooooooo
向中央集权靠近。,R,oooooooo
把路线调往传统阵营。,R,oooooooooo
朝着军国主义行进。,R,ooooooooo
转向市场至上。,R,ooooooo
