text,intent,slots
前进1米,F,oobi
前进2米,F,oobi
前进3米,F,oobi
前进4米,F,oobi
前进5米,F,oobi
前进6米,F,oobi
前进7米,F,oobi
前进8米,F,oobi
前进9米,F,oobi
前进10米,F,oobi
前进11米,F,oobi
前进12米,F,oobi
前进13米,F,oobi
前进14米,F,oobi
前进15米,F,oobi
前进16米,F,oobi
前进17米,F,oobi
前进19米,F,oobi
前进20米,F,oobi
前进21米,F,oobi
前进22米,F,oobi
前进23米,F,oobi
前进24米,F,oobi
前进25米,F,oobi
前进26米,F,oobi
前进37米,F,oobi
前进38米,F,oobi
前进39米,F,oobi
前进40米,F,oobi
前进41米,F,oobi
前进42米,F,oobi
前进43米,F,oobi
前进62米,F,oobi
前进63米,F,oobi
前进77米,F,oobi
前进78米,F,oobi
前进79米,F,oobi
前进80米,F,oobi
前进81米,F,oobi
前进82米,F,oobi
前进83米,F,oobi
前进84米,F,oobi
前进85米,F,oobi
前进86米,F,oobi
前进87米,F,oobi
前进105米,F,oobi
前进106米,F,oobi
前进107米,F,oobi
前进108米,F,oobi
前进109米,F,oobi
前进110米,F,oobi
前进111米,F,oobi
前进112米,F,oobi
前进113米,F,oobi
前进114米,F,oobi
前进115米,F,oobi
前进116米,F,oobi
前进1126米,F,oobii
前进1127米,F,oobii
前进1128米,F,oobii
前进1129米,F,oobii
前进1130米,F,oobii
前进1131米,F,oobii
前进1132米,F,oobii
前进1133米,F,oobii
前进1134米,F,oobii
前进1135米,F,oobii
前进1136米,F,oobii
前进1137米,F,oobii
前进1138米,F,oobii
前进1139米,F,oobii
前进1140米,F,oobii
前进1141米,F,oobii
前进1142米,F,oobii
前进1143米,F,oobii
前进1144米,F,oobii
前进1145米,F,oobii
前进1146米,F,oobii
前进1147米,F,oobii
前进1148米,F,oobii
前进1149米,F,oobii
前进1150米,F,oobii
前进1151米,F,oobii
前进1152米,F,oobii
前进1153米,F,oobii
前进1154米,F,oobii
出发吧，先开个5米试试水温。,F,ooooooobiooooo
往前面挪个5米，别急。,F,ooooobioooo
向前,F,oo
直接飙个10米，爽快一点。,F,oooobiioooooo
前挪1米，慢慢来。,F,oobiooooo
前进3米，稳扎稳打。,F,oobioooooo
直接飙个10米，爽快一点。,F,oooobiioooooo
好，直走8米，看看前面啥情况。,F,oooobiooooooooo
直线前进7米，别歪。,F,oooobioooo
前进15米，冲刺一把。,F,oobiioooooo
往前1米，到位就行。,F,oobioooooo
走个6米，差不多到路口。,F,oobioooooooo
直线开个9米，别偏。,F,oooobiooo
开个4米，慢点儿。,F,oobiooooo
你有点靠后了,F,oooooo
往前走,F,ooo
前进，4米到那个小坡顶。,F,ooobioooooo
前进，23米到那片空地中央。,F,ooobiioooooooo
往前溜个5米，调整到位。,F,oooobioooooo
距离前面还差2米。,F,oooooobio
继续走。,F,oooo
迈出一步，世界便近了一寸。,F,ooooooooooooo
向前走50米，迷雾自会散开。,F,ooobioooooooo
下一步，就是新天地。,F,oooooooooo
往前再挪100米，你会发现刚才的纠结根本不值一提。,F,oooobiooooooooooooooooo
别停，向前。,F,oooooo
哪怕只推进30米，也是突破了昨天的自己。,F,ooooobioooooooooooo
走吧，路在脚下。,F,oooooooo
前进200米，或许就能听见回响。,F,oobioooooooooo
一直走，天总会亮。,F,oooooooio
向前70米，换个角度，风景大不同。,F,oobioooooooooooo
动起来，风会带你到你该去的地方。,F,oooooooooioooooo
前行150米，把烦恼甩在身后。,F,oobiooooooooo
脚步不停，万事皆有可能。,F,oooooooooooo
往前再探80米，答案或许就在拐角处。,F,oooobiooooooooooo
别回头，向前看。,F,oooooooo
前进400米，视野将豁然开朗。,F,oobiooooooooo
走一步，有一步的欢喜。,F,ooooooooooo
向前120米，就能赶上那趟末班车。,F,oobiooooooooooo
持续前进，直到看见光。,F,ooooooooooo
往前60米，把喧嚣抛诸脑后。,F,oobiooooooooo
迈步，即是方向。,F,oooooooo
前进250米，你将抵达一片宁静的树荫。,F,oobiooooooooooooo
哪怕缓慢，也要向前。,F,oooooooooo
往前300米，也许就能遇到那个对的人。,F,oobiooooooooooooo
别犹豫，走就是了。,F,ooooooooo
前进90米，听听自己内心的脚步声。,F,oobioooooooooooo
唯有向前，方能破局。,F,oooooooooo
往前500米，有一条清澈的小溪在等你。,F,oobiooooooooooooo
跨出去，哪怕只是一小步。,F,oooooooooooo
向前35米，就是下一个路口的选择。,F,oobioooooooooooo
不停走，总会到达。,F,ooooooooo
前进180米，你会发现困难不过是纸老虎。,F,oobioooooooooooooo
路在延伸，希望在生长。,F,ooooooooooo
往前220米，忘掉所有的不愉快。,F,oobioooooooooo
再坚持一下，向前走。,F,oooooooooo
前进50米，换个心情再出发。,F,oobiooooooooo
前进，是唯一的答案。,F,oooooooooo
往前400米，有一家飘香的咖啡馆。,F,oobiooooooooooo
不怕慢，就怕站，向前。,F,ooooooooooo
向前110米，生活或许就会给你一个微笑。,F,oobioooooooooooooo
走吧，不要问多远。,F,ooooooooo
前进600米，你会感谢现在迈开腿的自己。,F,oobioioooooooooooo
往前，不管身后是不是洪水滔天。,F,ooooooooooooooo
向前70米，就能看清那幅广告牌上的字。,F,oobioooooooooooooo
步子虽小，但一直向前就是胜利。,F,ooooooooooooooo
前进300米，把影子留在身后。,F,oobiooooooooo
不要停在原地，往前走。,F,ooooooooooo
往前850米，有片花海正在盛开。,F,oobioooioooooo
只要向前，就有希望。,F,oooooooooo
前进40米，你会发现刚才的争吵多么无聊。,F,oobioiooooooooooooo
向前，直到双脚告诉你可以停下。,F,oooooooooiooooo
往前200米，就能到达公交站台。,F,oobioooooooooo
别蜷缩着，站起来，向前走。,F,ooooooooooooo
前进150米，或许灵感就不期而至。,F,oobiooooooooooo
走起来，风会吹走你的阴霾。,F,ooooooooioooo
往前90米，能看到不一样的夕阳。,F,oobiooooooooooo
路是走出来的，向前。,F,oooooooooo
前进250米，就能买到那个热乎的烤红薯。,F,oobiooooooooooiioo
别管对错，向前就对了一半。,F,ooooooooooooo
向前30米，深呼吸，重新开始。,F,oobioooooooooo
前进，因为你值得拥有更远的风景。,F,oooooioooooooooo
往前550米，有一座古老的石桥。,F,oobioooooooooo
脚步丈量的，不止是距离，更是人生。,F,ooooooooooooooooo
向前120米，也许就能听到熟悉的旋律。,F,oobiooooooooooooo
别躺平，起来，向前。,F,oooooooooo
前进350米，那里的奶茶特别好喝。,F,oobiooooooooooo
向前一步，海阔天空。,F,oooooooooo
往前70米，把手机放下，看看天空。,F,oobioooooooooooo
没有比脚更长的路，向前。,F,ooiooooooooo
前进180米，那里有张长椅可以歇歇脚。,F,oobiooooooooooooo
向前走，别被情绪困住。,F,ooooooooooo
往前260米，你就能闻到面包房的香气。,F,oobiooooooooioooo
走起来，问题就解决了一半。,F,ooooooooooooo
前进80米，换个角度看自己。,F,oobiooooooooo
向前，哪怕目标是模糊的。,F,oooooooooooo
往前420米，有一个小小的喷泉广场。,F,oobioooooooooooo
再往前走一点点，说不定就有奇迹。,F,oooooooooooooooo
前进100米，把昨天的疲惫清零。,F,oobioooooooooo
走吧，好风景都在路上。,F,ooooooooooo
往前50米，你会遇到一个遛狗的老人，很治愈。,F,oobiooooooooooooooooo
向前，哪怕踉踉跄跄。,F,oooooooooo
前进330米，就能看见那座灯塔。,F,oobioooooooooo
动起来，让身体带动灵魂。,F,oooooooooooo
往前110米，右转，就是家的方向。,F,oobiooooooooooo
别被困在原地，向前。,F,oooooooooo
前进280米，也许能捡到一片好看的落叶。,F,oobioooooooooooooo
走，不要停。,F,oooooo
往前200米，忘掉那个让你难堪的人。,F,oobiooooooiooooo
前进，是对生命最基本的尊重。,F,oooooiiioooooo
往前90米，那里有个报亭，可以买份杂志。,F,oobiooooooooooooooo
迈开腿，世界就会为你让路。,F,oooooooooiooo
前进150米，或许就能看到彩虹的尽头。,F,oobiooooooooooooo
向前走，把迷茫甩在身后。,F,oooooooooooo
往前460米，有一家开了二十年的面馆。,F,oobiooooooooooooo
再走两步，就能触到光。,F,ooooooooooo
前进70米，找个台阶坐下，发会呆也好。,F,oobioooooooooooooo
向前，不停留。,F,ooooooo
往前600米，就能到达山脚。,F,oobioooooooo
走起来，焦虑就追不上你。,F,oooooooooooo
前进300米，那里有你要等的公交车。,F,oobiooooiooooooo
向前走，不要回头望。,F,oooooooooo
往前80米，就是地铁站入口。,F,oobiooooooooo
向前，是摆脱现状的唯一途径。,F,oooooooooooooo
前进250米，你会闻到雨后泥土的芬芳。,F,oobioooooooiioooo
别等待，向前走。,F,oooooooo
往前500米，有一片孩子们嬉戏的草地。,F,oobiooooooooooooo
走一步，再走一步。,F,ooooooooo
前进130米，也许就能听懂风的语言。,F,oobioooooooooooo
向前，别让恐惧追上你。,F,oooooooooio
往前350米，能看见城市的天际线。,F,oobiooooooooooo
往前走，答案就会浮现。,F,ooooooooooo
前进60米，跟那只流浪猫打个招呼。,F,oobioooioooooooo
向前，哪怕只是蠕动。,F,oooooooooo
