text,intent,slots
向左转。,L,oooo
全体左转。,L,ooooo
原地左转。,L,ooooo
听口令，左转！,L,ooooooo
向左侧转动。,L,oooooo
身体向左方旋转九十度。,L,ooooooooooo
立正，左转。,L,oooooo
齐步走前先左转。,L,oooooooo
目标在左边，转过去。,L,oooooooooo
把方向盘打向左边。,L,ooooooooo
朝左边拐。,L,ooooo
视线对准左侧。,L,ooooooo
脚跟为轴向左旋。,L,oooooooo
立即向左转向。,L,ooooooo
方向改为左侧。,L,ooooooo
向地图的西边转。,L,oooooooo
转到左手边。,L,oooooo
面朝左方。,L,ooooo
向左方迈步转身。,L,oooooooo
把身体带向左翼。,L,oooooooo
向西转动。,L,ooooo
朝日落的方向转身。,L,ooooooooo
面向自由的那一侧。,L,ooooooooo
把方向盘往自由的方向打。,L,oooooooooooo
转向进步的一方。,L,oooooooo
向民主的道路靠拢。,L,ooooooooo
朝平等的阵营移动。,L,ooooooooo
改变航向，向改革靠近。,L,ooooooooooo
将队伍带往革新的方向。,L,ooooooooooo
向社会公平的坐标旋转。,L,ooooooooooo
把立场移到工人阶级一边。,L,oooooooooooo
朝着红旗飘扬的方向行进。,L,oooooooooooo
转向思想解放的阵地。,L,oooooooooo
向更包容的世界靠近。,L,oooooooooo
朝着集体主义的方向迈步。,L,oooooooooooo
把舵轮拨向变革。,L,oooooooo
向新思潮的那边转去。,L,oooooooooo
朝着革命理想调整姿态。,L,ooooooooooo
把队形转向理想国。,L,ooooooooo
向公平正义的方向转。,L,oooooooooo
左翼集合，转向。,L,oooooooo
朝左翼推进。,L,oooooo
向左边的山谷拐。,L,oooooooo
向左侧山路前进。,L,oooooooo
在路口向左转弯。,L,oooooooo
车头朝左打。,L,oooooo
迅速完成左转动作。,L,ooooooooo
变更方向至左侧。,L,oooooooo
把身体朝左方摆动。,L,ooooooooo
将视角切换到左边。,L,ooooooooo
向着晨曦所在的一边旋转。,L,oooooooooooo
朝思想解放的阵营转身。,L,ooooooooooo
把立场转向改革派。,L,ooooooooo
让方向指向理想主义。,L,oooooooooo
把航标对准平等。,L,oooooooo
朝人民一侧靠拢。,L,oooooooo
转向社会进步的路径。,L,oooooooooo
把目标调整为公正。,L,ooooooooo
朝着创新力量移动。,L,ooooooooo
将身形转向光明的一侧。,L,ooooooooooo
向左拐角移动。,L,ooooooo
左转九十度。,L,oooooo
按口令左转。,L,oooooo
向左后方转体。,L,ooooooo
以左脚为轴转身。,L,oooooooo
左边有路，转过去。,L,ooooooooo
向左前方移动。,L,ooooooo
立刻完成左转。,L,ooooooo
向左偏航。,L,ooooo
将机头向左调整。,L,oooooooo
改变方向，拥抱变革。,L,oooooooooo
把视线转向未来。,L,oooooooo
向理想靠拢。,L,oooooo
朝着公平社会迈进。,L,ooooooooo
让思想偏向革新。,L,oooooooo
向开放的天地移动。,L,ooooooooo
