text,intent,slots
停止。,S,ooo
立刻停止。,S,ooooo
马上停下。,S,ooooo
原地停止。,S,ooooo
全部停止。,S,ooooo
立即停下。,S,ooooo
给我停。,S,oooo
现在停。,S,oooo
快停下。,S,oooo
停一下。,S,oooo
别动了。,S,oooo
不要动。,S,oooo
原地不动。,S,ooooo
静止。,S,ooo
保持静止。,S,ooooo
停在原地。,S,ooooo
停住。,S,ooo
停稳。,S,ooo
稳住别动。,S,ooooo
就地停下。,S,ooooo
停车。,S,ooo
靠边停。,S,oooo
刹车。,S,ooo
立即刹车。,S,ooooo
紧急刹车。,S,ooooo
踩刹车。,S,oooo
拉手刹。,S,oooo
停车待命。,S,ooooo
停车别动。,S,ooooo
停在这里。,S,ooooo
别往前走。,S,ooooo
不许前进。,S,ooooo
禁止移动。,S,ooooo
停止前进。,S,ooooo
停止行动。,S,ooooo
停止运行。,S,ooooo
终止动作。,S,ooooo
终止执行。,S,ooooo
终止前行。,S,ooooo
终止当前操作。,S,ooooooo
停下来休息。,S,oooooo
先停一下。,S,ooooo
等一下。,S,oooo
暂停。,S,ooo
暂停运行。,S,ooooo
暂停一下。,S,ooooo
停止移动。,S,ooooo
停止导航。,S,ooooo
停止驱动。,S,ooooo
停止工作。,S,ooooo
原地待命。,S,ooooo
原地等待。,S,ooooo
保持当前位置。,S,ooooooo
不要再动。,S,ooooo
别继续了。,S,ooooo
到此为止。,S,ooooo
打住。,S,ooo
别再往前。,S,ooooo
别再移动。,S,ooooo
站住。,S,ooo
立正停下。,S,ooooo
听令停止。,S,ooooo
全体止步。,S,ooooo
止步。,S,ooo
原地止步。,S,ooooo
就地待命。,S,ooooo
行动终止。,S,ooooo
立即终止。,S,ooooo
停止当前指令。,S,ooooooo
中止运行。,S,ooooo
熄火。,S,ooo
切断动力。,S,ooooo
关闭驱动。,S,ooooo
断开电机。,S,ooooo
关闭电源。,S,ooooo
立即断电。,S,ooooo
停止供电。,S,ooooo
动力归零。,S,ooooo
停止加速。,S,ooooo
减速至零。,S,ooooo
停住别走。,S,ooooo
别再往前冲。,S,oooooo
别动弹。,S,oooo
别乱跑。,S,oooo
立刻制动。,S,ooooo
刹停。,S,ooo
停在当前点。,S,oooooo
就地刹停。,S,ooooo
迅速停下。,S,ooooo
停止推进。,S,ooooo
终止前进模式。,S,ooooooo
进入静止状态。,S,ooooooo
切换到待机。,S,oooooo
切换到暂停。,S,oooooo
进入待机模式。,S,ooooooo
进入停止模式。,S,ooooooo
退出运行状态。,S,ooooooo
关闭运动模块。,S,ooooooo
停止马达。,S,ooooo
关闭运动系统。,S,ooooooo
不许再动。,S,ooooo
给我停下来。,S,oooooo
停在那儿。,S,ooooo
别再继续。,S,ooooo
不要再往前。,S,oooooo
别再前进。,S,ooooo
现在立刻停。,S,oooooo
停止一切动作。,S,ooooooo
停止当前行为。,S,ooooooo
行动到此结束。,S,ooooooo
马达停转。,S,ooooo
运动停止。,S,ooooo
驱动归零。,S,ooooo
停止输出。,S,ooooo
立即停机。,S,ooooo
紧急停机。,S,ooooo
执行停机。,S,ooooo
进入停机状态。,S,ooooooo
停机待命。,S,ooooo
系统停转。,S,ooooo
别再往那边走。,S,ooooooo
停止移动指令。,S,ooooooo
取消前进。,S,ooooo
取消当前动作。,S,ooooooo
停止执行计划。,S,ooooooo
中断运动。,S,ooooo
运动到此为止。,S,ooooooo
终止路径。,S,ooooo
停止路径执行。,S,ooooooo
刹住。,S,ooo
冻结当前位置。,S,ooooooo
锁定当前位置。,S,ooooooo
停在当前坐标。,S,ooooooo
不再移动。,S,ooooo
停止响应移动命令。,S,ooooooooo
停止推进系统。,S,ooooooo
动作清零。,S,ooooo
归零停止。,S,ooooo
马上制动。,S,ooooo
快速制动。,S,ooooo
先别动。,S,oooo
别急着走。,S,ooooo
等我一下。,S,ooooo
先停住。,S,oooo
稍等片刻。,S,ooooo
别再动了。,S,ooooo
不用再走。,S,ooooo
不必继续。,S,ooooo
停下听指令。,S,oooooo
保持原位。,S,ooooo
运动终止。,S,ooooo
行进结束。,S,ooooo
当前移动结束。,S,ooooooo
立刻归位停止。,S,ooooooo
终止推进系统。,S,ooooooo
关闭行进模式。,S,ooooooo
停止前行命令。,S,ooooooo
执行停止程序。,S,ooooooo
进入安全停止。,S,ooooooo
安全停机。,S,ooooo
紧急停止。,S,ooooo
紧急制动。,S,ooooo
紧急停下。,S,ooooo
立即安全停机。,S,ooooooo
快速停机。,S,ooooo
立刻停机。,S,ooooo
马上终止。,S,ooooo
强制停止。,S,ooooo
强制停机。,S,ooooo
强制终止运动。,S,ooooooo
停下别动。,S,ooooo
原地别动。,S,ooooo
站在原地。,S,ooooo
停在当前位置。,S,ooooooo
不要再运行。,S,oooooo
停止动力输出。,S,ooooooo
断开运动控制。,S,ooooooo
马达归零。,S,ooooo
速度归零。,S,ooooo
清零移动。,S,ooooo
停止当前流程。,S,ooooooo
终止运行状态。,S,ooooooo
切断运动电源。,S,ooooooo
刹车停稳。,S,ooooo
就地停车。,S,ooooo
停车等待。,S,ooooo
停车执行等待。,S,ooooooo
停在此处。,S,ooooo
原地锁定。,S,ooooo
停止移动系统。,S,ooooooo
行动停止。,S,ooooo
当前操作停止。,S,ooooooo
全面停止。,S,ooooo
立即全面停止。,S,ooooooo
动作终止。,S,ooooo
现在终止。,S,ooooo
运行结束。,S,ooooo
行驶结束。,S,ooooo
就此停下。,S,ooooo
停。,S,oo
