text,intent,slots
后退3米,B,oobi
后退4米,B,oobi
后退5米,B,oobi
后退6米,B,oobi
后退7米,B,oobi
后退8米,B,oobi
后退9米,B,oobi
后退10米,B,oobi
后退11米,B,oobi
后退12米,B,oobi
后退13米,B,oobi
后退14米,B,oobi
后退15米,B,oobi
后退16米,B,oobi
后退17米,B,oobi
后退18米,B,oobi
后退19米,B,oobi
后退20米,B,oobi
后退21米,B,oobi
后退22米,B,oobi
后退23米,B,oobi
后退114米,B,oobi
后退115米,B,oobi
后退116米,B,oobi
后退117米,B,oobi
后退118米,B,oobi
后退119米,B,oobi
后退120米,B,oobi
后退121米,B,oobi
后退122米,B,oobi
后退123米,B,oobi
后退124米,B,oobi
后退125米,B,oobi
后退126米,B,oobi
后退127米,B,oobi
后退128米,B,oobi
后退129米,B,oobi
后退130米,B,oobi
后退131米,B,oobi
后退132米,B,oobi
后退133米,B,oobi
后退134米,B,oobi
后退135米,B,oobi
后退136米,B,oobi
后退137米,B,oobi
太靠前了,B,oooo
后退1375米,B,oobii
后退1376米,B,oobii
后退1377米,B,oobii
后退1378米,B,oobii
后退1379米,B,oobii
后退1380米,B,oobii
后退1381米,B,oobii
后退1382米,B,oobii
后退1383米,B,oobii
后退1384米,B,oobii
后退1385米,B,oobii
后退1386米,B,oobii
后退1387米,B,oobii
后退1388米,B,oobii
后退1389米,B,oobii
后退1390米,B,oobii
后退1391米,B,oobii
后退1392米,B,oobii
后退1393米,B,oobii
向后撤退2米。,B,oooobio
请退后。,B,bioo
后退3米。,B,oobio
稍微往后退一点。,B,oooooooo
向后移动5米。,B,oooobio
退后，保持距离。,B,oooooooo
请后退10米。,B,ooobio
往后撤1步。,B,oooooo
退后半米。,B,oobio
向后退1米。,B,ooobio
往后挪2米。,B,ooobio
请退后一点。,B,oooooo
向后撤退3米。,B,oooobio
后退几步。,B,ooooo
往后移4米。,B,ooobio
退后，别靠近。,B,ooooooo
请退后5米。,B,ooobio
向后撤退2米。,B,oooobio
请退后。,B,oooo
后退3米。,B,oobio
稍微往后退一点。,B,oooooooo
向后移动5米。,B,oooobio
退后，保持距离。,B,oooooooo
请后退10米。,B,ooobio
往后撤1步。,B,oooooo
退后半米。,B,oobio
向后退1米。,B,ooobio
往后挪2米。,B,ooobio
请退后一点。,B,oooooo
向后撤退3米。,B,oooobio
后退几步。,B,ooooo
往后移4米。,B,ooobio
退后，别靠近。,B,ooooooo
请退后5米。,B,ooobio
向后1步。,B,ooooo
撤退2米。,B,oobio
往后让一让。,B,oooooo
后退8米。,B,oobio
请往后退1米。,B,ooooobi
向后移动2米。,B,oooobio
退后一点。,B,ooooo
后退4米。,B,oobio
往后撤，保持安全。,B,ooooooooo
请退后3米。,B,ooobio
向后撤退1米。,B,oooobio
退后两步。,B,ooooo
往后挪1米。,B,oooobi
后退6米。,B,oobio
请向后移2米。,B,ooooooo
撤退1步。,B,oobio
往后让开。,B,ooooo
后退7米。,B,oobio
请退后半米。,B,ooooobio
向后移动3米。,B,oooobio
退后，保持距离。,B,oooooooo
后退9米。,B,oobio
往后撤2米。,B,ooobio
请退后4米。,B,ooobio
向后1步。,B,ooooo
撤退3米。,B,oobio
往后挪3米。,B,ooobio
后退10米。,B,oobio
请向后退两步。,B,ooooooo
向后撤退2米。,B,oooobio
退后一点。,B,ooooo
后退2米。,B,oobio
往后移1步。,B,oooooo
请退后6米。,B,ooobio
向后移动1米。,B,oooobio
退后，别过来。,B,ooooooo
后退5米。,B,oobio
往后撤3米。,B,ooobio
请退后7米。,B,ooobio
向后撤退半米。,B,oooobio
退后三步。,B,ooooo
撤退1米。,B,oobio
往后让2米。,B,ooobio
后退3米。,B,oobio
请向后移1米。,B,ooooooo
向后移动4米。,B,oooobio
退后一点。,B,ooooo
后退8米。,B,oobio
往后撤1步。,B,oooooo
请退后2米。,B,ooobio
向后撤退4米。,B,oooobio
退后几步。,B,ooooo
撤退半米。,B,oobio
往后挪2米。,B,ooobio
后退4米。,B,oobio
请向后退3米。,B,oooobio
向后移动5米。,B,oooobio
退后，保持安全。,B,oooooooo
后退6米。,B,oobio
往后撤2米。,B,ooobio
请退后8米。,B,ooobio
向后撤退1步。,B,oooobio
退后一点。,B,ooooo
后退1米。,B,oobio
往后移2米。,B,ooobio
请退后5米。,B,ooobio
向后移动半米。,B,ooooobio
退后两步。,B,ooooo
撤退2米。,B,oobio
往后让1米。,B,oooobi
后退7米。,B,oobio
请向后移3米。,B,oooobio
向后撤退5米。,B,oooobio
退后，别靠近。,B,ooooooo
后退9米。,B,oobio
往后撤1米。,B,ooobio
请退后9米。,B,ooobio
向后移动2米。,B,oooobio
退后几步。,B,ooooo
撤退3米。,B,oobio
往后挪1步。,B,oooooo
后退10米。,B,oobio
请往后退半米。,B,oooobio
向后撤退6米。,B,oooobio
退后一点。,B,ooooo
后退2米。,B,oobio
往后移3米。,B,ooobio
请退后10米。,B,ooobio
向后移动1步。,B,ooooooo
退后，保持距离。,B,oooooooo
后退5米。,B,oobio
往后撤4米。,B,ooobio
请退后1米。,B,ooobio
向后撤退2米。,B,oooobio
退后三步。,B,ooooo
撤退4米。,B,oobio
往后让3米。,B,ooobio
后退3米。,B,oobio
请向后移2米。,B,ooooooo
向后移动6米。,B,oooobio
退后一点。,B,ooooo
后退8米。,B,oobio
往后撤半米。,B,ooobio
请退后4米。,B,ooobio
向后撤退3米。,B,oooobio
退后几步。,B,ooooo
撤退1米。,B,oobio
往后挪4米。,B,ooobio
后退6米。,B,oobio
请向后退1米。,B,ooooobi
向后移动7米。,B,oooobio
退后，别过来。,B,ooooooo
后退4米。,B,oobio
往后撤2米。,B,ooobio
请退后6米。,B,ooobio
向后撤退1步。,B,oooobio
退后一点。,B,ooooo
后退7米。,B,oobio
往后移半米。,B,ooobio
请退后3米。,B,ooobio
向后移动8米。,B,oooobio
退后两步。,B,ooooo
撤退5米。,B,oobio
往后让2米。,B,ooobio
后退5米。,B,oobio
请向后移4米。,B,oooobio
向后撤退7米。,B,oooobio
退后，保持安全。,B,oooooooo
后退9米。,B,oobio
往后撤3米。,B,ooobio
请退后8米。,B,ooobio
向后移动1米。,B,oooobio
退后几步。,B,ooooo
撤退2米。,B,oobio
往后挪3米。,B,ooobio
后退1米。,B,oobio
请往后退2米。,B,oooobio
向后撤退4米。,B,oooobio
退后一点。,B,ooooo
后退10米。,B,oobio
往后移1米。,B,ooobio
请退后7米。,B,ooobio
向后移动9米。,B,oooobio
退后，保持距离。,B,oooooooo
后退2米。,B,oobio
往后撤1米。,B,ooobio
请退后5米。,B,ooobio
向后撤退半米。,B,oooobio
退后三步。,B,ooooo
撤退6米。,B,oobio
往后让4米。,B,ooobio
后退3米。,B,oobio
请向后移半米。,B,oooobio
向后移动10米。,B,oooobio
退后一点。,B,ooooo
后退8米。,B,oobio
往后撤5米。,B,ooobio
请退后9米。,B,ooobio
向后撤退2米。,B,oooobio
退后几步。,B,ooooo
撤退3米。,B,oobio
往后挪2米。,B,ooobio
后退4米。,B,oobio
请向后退4米。,B,oooobio
向后移动2米。,B,oooobio
退后，别靠近。,B,ooooooo
后退6米。,B,oobio
往后撤2米。,B,ooobio
请退后10米。,B,ooobio
向后撤退1米。,B,oooobio
退后一点。,B,ooooo
后退7米。,B,oobio
往后移2米。,B,ooobio
请退后1米。,B,ooobio
向后移动3米。,B,oooobio
退后两步。,B,ooooo
撤退4米。,B,oobio
往后让1米。,B,oooobi
后退5米。,B,oobio
请向后移5米。,B,oooobio
向后撤退8米。,B,oooobio
退后，保持安全。,B,oooooooo
后退9米。,B,oobio
往后撤3米。,B,ooobio
请退后2米。,B,ooobio
向后移动半米。,B,oooobio
退后几步。,B,ooooo
撤退5米。,B,oobio
往后挪4米。,B,ooobio
后退10米。,B,oobio
请往后退3米。,B,oooobio
向后撤退6米。,B,oooobio
退后一点。,B,ooooo
后退1米。,B,oobio
往后移3米。,B,ooobio
请退后4米。,B,ooobio
向后移动1步。,B,ooooooo
退后，保持距离。,B,oooooooo
后退2米。,B,oobio
往后撤半米。,B,ooobio
请退后6米。,B,ooobio
向后撤退7米。,B,oooobio
退后三步。,B,ooooo
撤退1米。,B,oobio
往后让2米。,B,ooobio
